Version,Segment,System Source,LSM Schema Name,Target Table Name,Mapping Session Workflow Names,Frequency,Source Schema Name,Source Object Name,Dependencies,Join Condition,Filter Condition,Load Strategy,Design Consideration,Comments
0.1,POLICY,ACTURIS-SDW,dap_motability_policy_lsm,dim_policy,dap_motability_policy_lsm_dbt_dag.dim_policy,Daily,ext_curation_motability,"mo_sdw_policy, mo_sdw_product_question_answer,  mo_sdw_policy_reprt_answer, mo_sdw_part,  mo_sdw_product_question, mo_sdw_policy_reprt_fields_up, mo_sdw_policy_reprt_question.",mo_sdw_policy,,delta process everyday based on the curation dap_process_timestamp,While populating dim_policy we will be considering  only the first created record of that day.,Policy number is Unique.,Latest record of the policy is considered basis of policy number and transaction date(created date).
0.1,POLICY,ACTURIS-SDW,dap_motability_policy_lsm,dim_vehicle,dap_motability_policy_lsm_dbt_dag.dim_vehicle,Daily,ext_curation_motability,"mo_sdw_part_answer_bridge,  mo_sdw_product_question, mo_sdw_policy, mo_sdw_product_question_answer, mo_sdw_part.",mo_sdw_policy,,delta process everyday based on the curation dap_process_timestamp,While populating dim_vehicle we will be considering  only the policy latest record of that day.,Vehicle registration number,Latest record of the vehicle against the policy based on the vehicle key( policy number and vehicle registration number) based on the created time of the policy.
0.1,POLICY,ACTURIS-SDW,dap_motability_policy_lsm,dim_driver,dap_motability_policy_lsm_dbt_dag.dim_driver,Daily,ext_curation_motability,"mo_sdw_part_answer_bridge, mo_sdw_policy, mo_sdw_product_question,mo_sdw_product_question_answer, mo_sdw_part",mo_sdw_policy,,delta process everyday based on the curation dap_process_timestamp,While populating dim_driver we will be considering  only the policy latest record of that day.,Combination of driver_first_name+driver_surname+driving_licence_number+driver_date_of_birth+test_passed_date will be unique.,Latest record of the driver against  first name + last name + dob + registration number ) based on created time of the policy.
0.1,POLICY,ACTURIS-SDW,dap_motability_policy_lsm,dim_transaction_status,dap_motability_policy_lsm_dbt_dag.dim_transaction_status,Daily,ext_curation_motability,mo_sdw_policy,mo_sdw_policy,,delta process everyday based on the curation dap_process_timestamp,Populate directly from mo_sdw_policy using  mo_plc_policy_status_description column.,mo_plc_policy_status_description,All the possible distinct transaction status are captured in the dimension. Updates are made only when a new transaction status is introduced in the data.
0.1,POLICY,ACTURIS-SDW,dap_motability_policy_lsm,dim_lifecycle_status,dap_motability_policy_lsm_dbt_dag.dim_lifecycle_status,Daily,ext_curation_motability,mo_sdw_policy,mo_sdw_policy,,delta process everyday based on the curation dap_process_timestamp,Populate directly from mo_sdw_policy using  mo_plc_business_event_description column.,mo_plc_business_event_description,All the possible distinct business events are captured in the dimension. Updates are made only when a new business event is introduced in the data.
0.1,POLICY,ACTURIS-SDW,dap_motability_policy_lsm,dim_adaptation,dap_motability_policy_lsm_dbt_dag.dim_adaptation,Daily,ext_curation_motability,"mo_sdw_part_answer_bridge, mo_sdw_policy, mo_sdw_product_question, mo_sdw_part",mo_sdw_policy,,delta process everyday based on the curation dap_process_timestamp,While populating dim_adaptation we will be considering  only the latest record of that day.,Vehicle registration number,Adaptation is captured only for the latest record of the policy number on a day against a vehicle.
0.1,POLICY,ACTURIS-SDW,dap_motability_policy_lsm,dim_driver_group,dap_motability_policy_lsm_dbt_dag.dim_driver_group,Daily,ext_curation_motability,mo_sdw_policy,mo_sdw_policy,,delta process everyday based on the curation dap_process_timestamp,While populating dim_driver_group we will be considering  all the records of that day.,This table combines policy and driver.,All the possible combination of the policy number and created date of the day.
0.1,POLICY,ACTURIS-SDW,dap_motability_policy_lsm,brdg_driver_group,dap_motability_policy_lsm_dbt_dag.brdg_driver_group,Daily,ext_curation_motability,"mo_sdw_product_question_answer,
mo_sdw_part,
mo_sdw_policy",mo_sdw_policy,,delta process everyday based on the curation dap_process_timestamp,While populating brdg_driver_group we will be considering  only the latest address of the policy for that day.,driver_first_name+driver_surname+driving_licence_number+driver_date_of_birth,For every single part and policy number we are considering the latest record on created time of the day.
0.1,POLICY,ACTURIS-SDW,dap_motability_policy_lsm,dim_address,dap_motability_policy_lsm_dbt_dag.dim_address,Daily,ext_curation_motability,"mo_sdw_address, mo_sdw_address_pii, mo_sdw_part_address_pii, mo_sdw_part_address, mo_sdw_part_answer_bridge",mo_sdw_policy,,delta process everyday based on the curation dap_process_timestamp,While populating dim_address we will be considering  all the records of that day.,"combination of address_line_1, address_line_2, address_line_3, city.",All the possible distinct address are captured in the dimension. Updates are made only when a new address is introduced in the data.
0.1,POLICY,ACTURIS-SDW,dap_motability_policy_lsm,dim_party,dap_motability_policy_lsm_dbt_dag.dim_party,Daily,ext_curation_motability,"mo_sdw_contact_people_pii,  mo_sdw_client_pii, mo_sdw_contact_reprt_answer, mo_sdw_contact_people,  mo_sdw_client, mo_sdw_contact_reprt_fields_up, mo_sdw_contact_reprt_question , mo_sdw_contact_reprt_answer  , mo_sdw_client_additional_detail",mo_sdw_client,,delta process everyday based on the curation dap_process_timestamp,While populating dim_party we will be considering  only the latest record of the customer for that day only for policyholder and appointee.,"combination of mo_clnt_pii_name, mo_clnt_pii_first_name, mo_clnt_company_reg_no, mo_clnt_old_contact_ref.",For every customer/policyholder only the latest record is considered based on created date.
