Version,Segment,Sysytem Source ,Source Object Name (Curated),Source Field Name,Source Field Data Type,Transformation Rule,Target System Name ,Target Object Name ,Target Field Name,Target Field Data Type,Target Field Description,Default Value in Target,Mandatory,Comment
v1.1,POLICY,ACTURIS-SDW,,,,,LSM,dim_policy,policy_id,bigint,"Primary Key for dim_policy, this column contains unique autogenerated values.",,Yes,
v1.2,POLICY,ACTURIS-SDW,mo_sdw_policy,mo_plc_exclude_from_autorenewal_key,,When mo_plc_exclude_from_autorenewal_key  is  1 then 'No'  and mo_plc_exclude_from_autorenewal_key  is  0 then 'Yes'.,LSM,dim_policy,auto_renewal_flag,varchar(3),It is the flag to identify the policy automatically continues for another term (usually the same duration as the initial term) unless the customer opts out or cancels before the renewal date on a policy.,,,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy,mo_plc_migrated_key,,Direct mapping,LSM,dim_policy,migrated_flag,varchar(3),It's a flag to identify policies migrated from MO to dlg.,,Yes,
v1.2,POLICY,ACTURIS-SDW,mo_sdw_policy_reprt_answer,mo_rept_ans_answer_text,,"1. Join policy table with policy_reprt_fields_up  on policy_key, join policy_reprt_fields_up table with policy_reprt_question on policy_reprt_question_key and policy_reprt_answer on policy_reprt_question_key where question_text column from policy_reprt_question  like 'Gap hire'.",LSM,dim_policy,gap_hire_flag,varchar(16383),It is temporary hiring happened to fill gaps in business operations.,,Yes,
v1.2,POLICY,ACTURIS-SDW,mo_sdw_policy_reprt_answer,mo_rept_ans_answer_text,,"1. Join policy table with policy_reprt_fields_up  on policy_key, join policy_reprt_fields_up table with policy_reprt_question on policy_reprt_question_key and policy_reprt_answer on policy_reprt_question_key where question_text column from policy_reprt_question  like 'Extension type'.
If there is no extension_type  = temporary  then populate N/A.",LSM,dim_policy,extension_type,varchar(16383),It is an additional coverage options  that can be added to the policy terms.,,,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy_reprt_answer,mo_rept_ans_answer_text,,"1. Join policy table with policy_reprt_fields_up  on policy_key, join policy_reprt_fields_up table with policy_reprt_question on policy_reprt_question_key and policy_reprt_answer on policy_reprt_question_key where question_text column from policy_reprt_question  like 'Special Terms Applied'.",LSM,dim_policy,special_terms_applied_flag,varchar(16383),It refers to specific conditions or provisions that are applied uniquely or differently from the standard terms in a policy.,,No,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy_reprt_answer,mo_rept_ans_answer_text,,"1. Join policy table with policy_reprt_fields_up  on policy_key, join policy_reprt_fields_up table with policy_reprt_question on policy_reprt_question_key and policy_reprt_answer on policy_reprt_question_key where question_text column from policy_reprt_question  like 'Has Customer Appealed?'.",LSM,dim_policy,special_terms_appealed_flag,varchar(16383),"It refers to specific conditions within the policy that have been contested by a policyholder or another party, often through an appeal process seeking clarification or modification.",,No,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy_reprt_answer,mo_rept_ans_answer_text,,"1. Join policy table with policy_reprt_fields_up  on policy_key, join policy_reprt_fields_up table with policy_reprt_question on policy_reprt_question_key and policy_reprt_answer on policy_reprt_question_key where question_text column from policy_reprt_question  like 'Was Appeal Upheld??'.",LSM,dim_policy,special_terms_appeal_upheld_flag,varchar(3),It means the contested condition in an insurance policy has been confirmed valid after review.,,No,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy,mo_plc_inception_date_key,,Direct mapping,LSM,dim_policy,inception_date,timestamp,The date on which the policy started.,,Yes,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy,mo_plc_term_end_date_key,,Direct mapping,LSM,dim_policy,original_end_date,timestamp,The date on which the policy ended.,,Yes,
